Name,Race,Year,Gender,Age,Finish,Age Bracket
Sample Runner 00001,26.2 with Donna: The National Marathon to Finish Breast Cancer,2023,F,55,22668,55-59
Sample Runner 00002,26.2 with Donna: The National Marathon to Finish Breast Cancer,2023,F,47,18307,45-49
Sample Runner 00003,26.2 with Donna: The National Marathon to Finish Breast Cancer,2023,F,36,14010,35-39
Sample Runner 00004,26.2 with Donna: The National Marathon to Finish Breast Cancer,2023,F,28,18863,Under 35
Sample Runner 00005,26.2 with Donna: The National Marathon to Finish Breast Cancer,2023,F,26,15176,Under 35
Sample Runner 00006,26.2 with Donna: The National Marathon to Finish Breast Cancer,2023,F,29,17014,Under 35
Sample Runner 00007,26.2 with Donna: The National Marathon to Finish Breast Cancer,2023,F,39,15902,35-39
Sample Runner 00008,26.2 with Donna: The National Marathon to Finish Breast Cancer,2023,M,57,22500,55-59
Sample Runner 00009,26.2 with Donna: The National Marathon to Finish Breast Cancer,2023,M,39,9780,35-39
Sample Runner 00010,26.2 with Donna: The National Marathon to Finish Breast Cancer,2023,M,40,19061,40-44
Sample Runner 00011,26.2 with Donna: The National Marathon to Finish Breast Cancer,2023,F,27,16250,Under 35
Sample Runner 00012,26.2 with Donna: The National Marathon to Finish Breast Cancer,2023,M,40,13879,40-44
Sample Runner 00013,26.2 with Donna: The National Marathon to Finish Breast Cancer,2023,M,20,10742,Under 35
Sample Runner 00014,26.2 with Donna: The National Marathon to Finish Breast Cancer,2023,M,62,14140,60-64
Sample Runner 00015,26.2 with Donna: The National Marathon to Finish Breast Cancer,2023,F,56,19490,55-59
Sample Runner 00016,26.2 with Donna: The National Marathon to Finish Breast Cancer,2023,F,42,16030,40-44
Sample Runner 00017,26.2 with Donna: The National Marathon to Finish Breast Cancer,2023,F,67,23281,65-69
Sample Runner 00018,26.2 with Donna: The National Marathon to Finish Breast Cancer,2023,F,68,18180,65-69
Sample Runner 00019,26.2 with Donna: The National Marathon to Finish Breast Cancer,2023,F,19,15979,Under 35
Sample Runner 00020,26.2 with Donna: The National Marathon to Finish Breast Cancer,2023,M,28,16125,Under 35
Sample Runner 00021,3 Bridges Marathon,2023,F,64,21185,60-64
Sample Runner 00022,3 Bridges Marathon,2023,F,64,14043,60-64
Sample Runner 00023,3 Bridges Marathon,2023,M,44,13259,40-44
Sample Runner 00024,3 Bridges Marathon,2023,M,24,18500,Under 35
Sample Runner 00025,3 Bridges Marathon,2023,F,54,28789,50-54
Sample Runner 00026,3 Bridges Marathon,2023,F,29,12847,Under 35
Sample Runner 00027,3 Bridges Marathon,2023,M,24,12944,Under 35
Sample Runner 00028,3 Bridges Marathon,2023,F,59,17022,55-59
Sample Runner 00029,3 Bridges Marathon,2023,M,39,14276,35-39
Sample Runner 00030,3 Bridges Marathon,2023,M,49,26766,45-49
Sample Runner 00031,3 Bridges Marathon,2023,F,49,25551,45-49
Sample Runner 00032,3 Bridges Marathon,2023,F,44,18317,40-44
Sample Runner 00033,3 Bridges Marathon,2023,M,49,12574,45-49
Sample Runner 00034,3 Bridges Marathon,2023,F,39,21566,35-39
Sample Runner 00035,3 Bridges Marathon,2023,F,34,29887,Under 35
Sample Runner 00036,3 Bridges Marathon,2023,M,69,13887,65-69
Sample Runner 00037,3 Bridges Marathon,2023,F,74,25253,70-74
Sample Runner 00038,3 Bridges Marathon,2023,F,59,18692,55-59
Sample Runner 00039,3 Bridges Marathon,2023,M,74,31539,70-74
Sample Runner 00040,3 Bridges Marathon,2023,M,34,14332,Under 35
Sample Runner 00041,A Run Through Time,2023,M,46,16728,45-49
Sample Runner 00042,A Run Through Time,2023,M,50,18576,50-54
Sample Runner 00043,A Run Through Time,2023,M,60,19703,60-64
Sample Runner 00044,A Run Through Time,2023,M,33,11772,Under 35
Sample Runner 00045,A Run Through Time,2023,M,35,23011,35-39
Sample Runner 00046,A Run Through Time,2023,M,23,18577,Under 35
Sample Runner 00047,A Run Through Time,2023,M,57,19697,55-59
Sample Runner 00048,A Run Through Time,2023,M,44,13613,40-44
Sample Runner 00049,A Run Through Time,2023,M,47,23890,45-49
Sample Runner 00050,A Run Through Time,2023,M,24,14574,Under 35
Sample Runner 00051,A Run Through Time,2023,M,43,12371,40-44
Sample Runner 00052,A Run Through Time,2023,M,60,19587,60-64
Sample Runner 00053,A Run Through Time,2023,M,46,17260,45-49
Sample Runner 00054,A Run Through Time,2023,M,23,14458,Under 35
Sample Runner 00055,A Run Through Time,2023,M,25,12298,Under 35
Sample Runner 00056,A Run Through Time,2023,F,32,21903,Under 35
Sample Runner 00057,A Run Through Time,2023,M,42,14241,40-44
Sample Runner 00058,A Run Through Time,2023,F,57,23894,55-59
Sample Runner 00059,A Run Through Time,2023,M,34,23627,Under 35
Sample Runner 00060,A Run Through Time,2023,F,45,19986,45-49
Sample Runner 00061,Abebe Bikila Day International Peace Marathon,2023,M,25,12756,Under 35
Sample Runner 00062,Abebe Bikila Day International Peace Marathon,2023,M,28,21423,Under 35
Sample Runner 00063,Abebe Bikila Day International Peace Marathon,2023,M,57,16617,55-59
Sample Runner 00064,Abebe Bikila Day International Peace Marathon,2023,M,24,18291,Under 35
Sample Runner 00065,Abebe Bikila Day International Peace Marathon,2023,M,45,14197,45-49
Sample Runner 00066,Abebe Bikila Day International Peace Marathon,2023,M,33,15282,Under 35
Sample Runner 00067,Abebe Bikila Day International Peace Marathon,2023,M,60,21077,60-64
Sample Runner 00068,Abebe Bikila Day International Peace Marathon,2023,F,28,21427,Under 35
Sample Runner 00069,Abebe Bikila Day International Peace Marathon,2023,M,36,21131,35-39
Sample Runner 00070,Abebe Bikila Day International Peace Marathon,2023,M,29,17226,Under 35
Sample Runner 00071,Abebe Bikila Day International Peace Marathon,2023,M,53,17558,50-54
Sample Runner 00072,Abebe Bikila Day International Peace Marathon,2023,M,55,21494,55-59
Sample Runner 00073,Abebe Bikila Day International Peace Marathon,2023,F,26,21676,Under 35
Sample Runner 00074,Abebe Bikila Day International Peace Marathon,2023,M,41,21049,40-44
Sample Runner 00075,Abebe Bikila Day International Peace Marathon,2023,M,42,16115,40-44
Sample Runner 00076,Abebe Bikila Day International Peace Marathon,2023,M,28,10160,Under 35
Sample Runner 00077,Abebe Bikila Day International Peace Marathon,2023,M,41,11800,40-44
Sample Runner 00078,Abebe Bikila Day International Peace Marathon,2023,M,55,13163,55-59
Sample Runner 00079,Abebe Bikila Day International Peace Marathon,2023,M,50,15282,50-54
Sample Runner 00080,Abebe Bikila Day International Peace Marathon,2023,M,37,13663,35-39
Sample Runner 00081,Adirondack Marathon,2023,M,50,12522,50-54
Sample Runner 00082,Adirondack Marathon,2023,M,30,11360,Under 35
Sample Runner 00083,Adirondack Marathon,2023,F,60,16144,60-64
Sample Runner 00084,Adirondack Marathon,2023,F,28,16575,Under 35
Sample Runner 00085,Adirondack Marathon,2023,F,54,19758,50-54
Sample Runner 00086,Adirondack Marathon,2023,M,37,13788,35-39
Sample Runner 00087,Adirondack Marathon,2023,M,47,13078,45-49
Sample Runner 00088,Adirondack Marathon,2023,M,46,16562,45-49
Sample Runner 00089,Adirondack Marathon,2023,M,23,18031,Under 35
Sample Runner 00090,Adirondack Marathon,2023,M,72,19863,70-74
Sample Runner 00091,Adirondack Marathon,2023,M,37,16547,35-39
Sample Runner 00092,Adirondack Marathon,2023,F,50,18474,50-54
Sample Runner 00093,Adirondack Marathon,2023,M,36,12103,35-39
Sample Runner 00094,Adirondack Marathon,2023,F,39,15444,35-39
Sample Runner 00095,Adirondack Marathon,2023,M,24,16069,Under 35
Sample Runner 00096,Adirondack Marathon,2023,M,50,14549,50-54
Sample Runner 00097,Adirondack Marathon,2023,M,24,17609,Under 35
Sample Runner 00098,Adirondack Marathon,2023,M,24,10091,Under 35
Sample Runner 00099,Adirondack Marathon,2023,M,37,14699,35-39
Sample Runner 00100,Adirondack Marathon,2023,M,39,18462,35-39
Sample Runner 00101,Air Force Marathon,2023,M,26,16574,Under 35
Sample Runner 00102,Air Force Marathon,2023,M,63,23834,60-64
Sample Runner 00103,Air Force Marathon,2023,M,50,15030,50-54
Sample Runner 00104,Air Force Marathon,2023,F,57,17466,55-59
Sample Runner 00105,Air Force Marathon,2023,M,23,15033,Under 35
Sample Runner 00106,Air Force Marathon,2023,F,46,13160,45-49
Sample Runner 00107,Air Force Marathon,2023,M,56,18749,55-59
Sample Runner 00108,Air Force Marathon,2023,M,29,16931,Under 35
Sample Runner 00109,Air Force Marathon,2023,M,64,15538,60-64
Sample Runner 00110,Air Force Marathon,2023,M,56,19457,55-59
Sample Runner 00111,Air Force Marathon,2023,M,30,21985,Under 35
Sample Runner 00112,Air Force Marathon,2023,M,23,10572,Under 35
Sample Runner 00113,Air Force Marathon,2023,M,22,14153,Under 35
Sample Runner 00114,Air Force Marathon,2023,M,51,12329,50-54
Sample Runner 00115,Air Force Marathon,2023,M,32,17951,Under 35
Sample Runner 00116,Air Force Marathon,2023,M,29,11955,Under 35
Sample Runner 00117,Air Force Marathon,2023,M,44,20753,40-44
Sample Runner 00118,Air Force Marathon,2023,M,24,14456,Under 35
Sample Runner 00119,Air Force Marathon,2023,F,23,17120,Under 35
Sample Runner 00120,Air Force Marathon,2023,M,45,15534,45-49
Sample Runner 00121,Akron Marathon,2023,M,29,13991,Under 35
Sample Runner 00122,Akron Marathon,2023,M,28,14866,Under 35
Sample Runner 00123,Akron Marathon,2023,F,36,17826,35-39
Sample Runner 00124,Akron Marathon,2023,F,31,15519,Under 35
Sample Runner 00125,Akron Marathon,2023,F,39,13340,35-39
Sample Runner 00126,Akron Marathon,2023,F,22,16350,Under 35
Sample Runner 00127,Akron Marathon,2023,M,29,17537,Under 35
Sample Runner 00128,Akron Marathon,2023,M,49,22170,45-49
Sample Runner 00129,Akron Marathon,2023,M,42,22245,40-44
Sample Runner 00130,Akron Marathon,2023,M,27,12379,Under 35
Sample Runner 00131,Akron Marathon,2023,M,71,20905,70-74
Sample Runner 00132,Akron Marathon,2023,M,32,17987,Under 35
Sample Runner 00133,Akron Marathon,2023,M,37,11806,35-39
Sample Runner 00134,Akron Marathon,2023,M,48,14246,45-49
Sample Runner 00135,Akron Marathon,2023,M,59,14140,55-59
Sample Runner 00136,Akron Marathon,2023,F,48,19003,45-49
Sample Runner 00137,Akron Marathon,2023,F,42,22722,40-44
Sample Runner 00138,Akron Marathon,2023,M,33,18963,Under 35
Sample Runner 00139,Akron Marathon,2023,M,33,19441,Under 35
Sample Runner 00140,Akron Marathon,2023,M,47,17463,45-49
Sample Runner 00141,Alaska Series - Day 1,2023,M,46,29062,45-49
Sample Runner 00142,Alaska Series - Day 1,2023,M,73,30926,70-74
Sample Runner 00143,Alaska Series - Day 1,2023,M,70,27233,70-74
Sample Runner 00144,Alaska Series - Day 1,2023,F,-1,30471,Unknown
Sample Runner 00145,Alaska Series - Day 1,2023,M,81,30926,80 and Over
Sample Runner 00146,Alaska Series - Day 1,2023,M,73,29796,70-74
Sample Runner 00147,Alaska Series - Day 1,2023,F,49,24802,45-49
Sample Runner 00148,Alaska Series - Day 1,2023,M,71,30471,70-74
Sample Runner 00149,Alaska Series - Day 1,2023,M,-1,24100,Unknown
Sample Runner 00150,Alaska Series - Day 1,2023,M,-1,21537,Unknown
Sample Runner 00151,Alaska Series - Day 1,2023,M,68,33028,65-69
